GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_base_quest_objective_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00053739	施設内でグールの発生源を見つける。
GID00053740	REPCONNのグールのリーダーJason Brightに会う。
GID00053741	展望台へむかい、発射シーケンスを完了させる。
GID00053742	ロケットの修理についてChris Haversamと話す。
GID00053743	(オプション) ロケットが墜落するよう破壊工作をする。
GID00053744	ロケット用の原子力燃料を探す。
GID00053745	ロケットの推力制御装置を直すための部品を見つける。
GID00053746	地下にいるNightkinを排除する。
GID00053747	(オプション) 近くの部屋でNightkinが探しているステルス・ボーイの出荷情報を捜す。
GID00053748	ロケット施設に戻り、Chris Haversamに燃料を渡す。
GID00053749	ロケット施設に戻り、Chris Haversamに部品を渡す。
GID00053750	Jason Brightに、Nightkinは去ったと報告する。
GID00053751	Chris Haversamにシュガーボムを3つ持っていく。
GID00053752	(オプション) nightkinが監禁しているHarlandの友人を発見する。
GID00053753	ロケットの発射準備をするようChris Haversamに話す。
GID00053754	(オプション) Harlandの所へ戻り、彼に残念な知らせを伝える。
GID00053755	上の階に向かい、インターコムの声の主と会う。
GID00053756	Novacの西にあるREPCONN facilityへ向かいグールの活動についての噂の調査を行う。
GID00053757	(オプション) "demons"のリーダーを見つけて彼と話す。
GID00053758	REPCONN地階に向かい、次に起こることについてJason Brightに話しかける。
GID00053759	(オプション) DavisonにREPCONN facilityにはStealth Boyが無いことを知らせに戻る。
GID00053760	(オプション) 自分を襲った者の情報をGoodspringsのサロン周辺で聞き込みを行う。
GID00053761	自分を殺そうとした者たちを探す。
GID00053762	PrimmのMojave Expressの管理者に、自分の配達業務について尋ねる。
GID00053763	Nipton経由でNovacへ向かい、自分を襲った者について聞き込みを行う。
GID00053764	Boulder CityでGreat Khanを捕まえる。
GID00053765	Platinum Chipを探す。
GID00053766	(オプション) GoodspringsのVictorと助けた時の事について話す。
GID00053767	Manny VargasからKhanの行先を聞く。
GID00053768	Primmの保安官を見つけ、自分を襲った者の行き先を尋ねる。
GID00053769	自分を襲った者の手がかりを得るためにBeagleの死体からBeagleの日記を入手する。
GID00053770	Mannyの身体を調べ、自分を襲った者の手掛かりを探す。
GID00053771	Beagleの日記を聞いて自分を襲った者の行き先の手がかりを得る。
GID00053772	Chavezを始末する。
GID00053773	不審な商人を追跡し、排除する。
GID00053774	NCRが刑務所のために何を計画しているのか -もし分かれば- Primmの住人から聞きだす。
GID00053775	EddieにChavezを始末したと伝える。
GID00053776	Eddieの所へ戻る。
GID00053777	NCRの攻撃計画に関する情報を、Eddieに報告する。
GID00053778	Sergeant Leeと合流する。
GID00053779	Eddieを殺す。
GID00053780	Eddieの所へ戻る。
GID00053781	(オプション) Eddieを裏切ってHayes中尉に協力、刑務所を取り返す。
GID00053782	BooneとBitter Springsへ移動する。
GID00053783	Bison Steve内のPowder Gangerに捕まっているPrimmの保安官代理を救出する。
GID00053784	Beagleを救出した。今後の警備について彼と話す。
GID00053785	BeagleはPrimmに新たな保安官が必要だと考えている。有力候補としてNCRCFの元保安官を提案しているが、NCRの管轄下に入ることも候補として考えている。
GID00053786	Beagleが死に、NashはPrimmに新たな保安官が必要と考えている。NCRの支配下に入るか、NCR刑務所の元保安官を雇う選択もある。
GID00053787	NCR刑務所の元保安官MeyersはNCRの許可があればPrimmの保安官を引き受けてもよいとしている。
GID00053788	Beagleは死んでしまったので、今後のPrimmについて話ができる者を探す。
GID00053789	追加人員があれば、HayesとNCRはPrimmを守るだろう。
GID00053790	Meyersの元へ戻り、NCRは彼が保安官の職を引き継ぐことを許可したと伝える。
GID00053791	Major KnightはPrimmへの追加人員を約束した。HayesとNCRによるPrimmの保護について話す。
GID00053792	(オプション) Primm SlimがPrimmの保安官になるよう再プログラムする。
GID00053793	HELIOS Oneのメインフレームと西のリフレクターコントロールパネルを接続する。
GID00053794	HELIOS Oneのメインフレームと東のリフレクターコントロールパネルを接続する。
GID00053795	補助発電機を使ってHELIOS Oneのメインフレームの動力を回復させる。
GID00053796	HELIOS Oneのメインフレームを使って電力を送る場所を決める。
GID00053797	タワーの観察デッキのコンソールでリフレクターを再設定する。
GID00053798	HELIOS Oneの中に居る変なサングラスをつけた人物と会話する。
GID00053799	Fantasticと話す。
GID00053800	Ignacioと話す。
GID00053801	オプション: ARCHIMEDESセキュリティシステムを起動し、近くのNCR兵を一掃する。
GID00053802	chem shipmentの入ったスーツケースを探す。
GID00053803	オフィスの空のスーツケースについて、Chomps Lewisに確認する。
GID00053804	Tyroneにchem shipmentの在り処を尋ねる。
GID00053805	chem shipmentと共にMelissaに戻る。
GID00053806	(オプション) Hayes中尉にGreat Khanの密輸計画を知らせる。
GID00053807	Hayes中尉にGreat Khanの密輸計画を知らせる。
GID00053808	Crimson Caravanの請求書をCamp McCarranのHildern博士に届ける。
GID00053809	Alice McLaffertyからさらなる仕事を得る事ができるようだ。
GID00053810	Cassと取引交渉をして、CassidyのキャラバンをCrimson Caravan Companyに参加させる。
GID00053811	Alice McLaffertyに戻り、請求書を渡したことを伝える。
GID00053812	CassidyのキャラバンがCrimson Caravan Companyに参加したことをAlice McLaffertyに知らせる。
GID00053813	Henry JamisonにCrimson Caravan Companyを辞めてもらうように説得する。
GID00053814	Alice McLaffertyにHenry Jamisonの件が終了したことを知らせる。
GID00053815	(オプション) Gun Runnersの工場から機密設計図を入手する。
GID00053816	Gun Runnersの設計図をAlice McLaffertyに持ち帰る。
GID00053817	Cassが死んでいることをAlice McLaffertyに伝える。
GID00053818	Captain Curtisと話す。
GID00053819	Camp McCarranに怪しげな事がないか聞き回る。 
GID00053820	Camp McCarran管制塔への深夜の不法侵入を調査する。
GID00053821	McCarranモノレールが駅を離れる前に爆弾を見つけ排除する。
GID00053822	Colonel Hsuに報告する。
GID00053823	Camp McCarranターミナルビルディングのチケットカウンターにあるゴミ箱から爆薬と爆弾の材料を拾う。
GID00053824	McCarranモノレールの後部壁面の通風口に爆薬を埋め込む。
GID00053825	列車を降りて、出発するのを見届ける。
GID00053826	核分裂バッテリー、コンダクター、ワンダーグルー、アブラクシオクリーナーの箱、そして設計図をPrivate Crenshawの小型ロッカーに仕込む。
GID00053827	Colonel Hsuに報告し、Private Crenshawを罠に嵌める。
GID00053828	Captain Curtisの所へ戻る。
GID00053829	Private Crenshawを殺す。
GID00053830	Colonel Hsuへスパイの発見に手を貸すことを伝える。
GID00053831	Camp McCarranターミナルビルディングのチケットカウンターにあるゴミ箱から爆発物を取り除く。
GID00053832	Captain CurtisにColonel Hsuが拒否した事を伝える。
GID00053833	無線機を盗聴する。
GID00053834	Camp McCarranでCaptain Curtisの作戦の援護が出来るか確かめに行く。
GID00053835	Sunset Sarsaparilla Headquartersを探し出し、Festusと話す。
GID00053836	景品と交換するのに十分なSunset Sarsaparilla Star Capsを持ってFestusの所に戻る!
GID00053837	現実の景品を受け取るためにSunset Sarsaparilla景品物置へと向かう。
GID00053838	水不足についてRomanowski中尉に聞く。
GID00053839	East Pump Stationの端末を調べ、水不足の原因を調べる。
GID00053840	East Pump Stationから得た情報をRomanowski中尉に伝える。
GID00053841	西貯水槽の水泥棒を捕まえる。
GID00053842	水不足の事をWrenchと話す。
GID00053843	Angeloの質屋からWrench's Super Tool Kitを買い戻し、水不足ついて聞く。
GID00053844	水不足についてAndersonに聞く。
GID00053845	水の消えた謎を解決するため、The White Washを完了。
GID00053846	Vault 22に入り、発見した調査データをダウンロードする。
GID00053847	調査データを携え、Camp McCarranのDr. Hildernの所に戻る。
GID00053848	(オプション) Vault 22で行方不明になった研究者のKeelyを捜す。
GID00053849	2階のベースキャンプでKeelyと合流する。
GID00053850	Keelyがガスを送った場所を見つけて引火させる。
GID00053851	Camp McCarranに戻りKeelyの無事をDr. Williamsに話す。
GID00053852	戻ってKeelyに胞子を一掃できたことを知らせる。
GID00053853	行方不明のCorporal Whiteの事をDazzleと話す。
GID00053854	Trent BascomからCorporal Whiteについて知っている事を全て吐き出させる。
GID00053855	White伍長の事をRomanowski中尉に話す。
GID00053856	Corporal Whiteの行方についてTom Andersonに尋ねる。
GID00053857	Corporal Whiteを見かけたかも知れない人をWestsideで見つける。
GID00053858	Hectorの後を追い、彼が何処から水を入手しているのかを突き止める。
GID00053859	Corporal Whiteの失踪についてAndersonに問いただす。
GID00053860	Andersonとの"ビジネス"協定を終わらせるためにEtienneと話す。
GID00053861	White伍長の件をBoyd中尉に話す。
GID00053862	Andersonを殺す。
GID00053863	(オプション) McCarran連絡路にあるWhite伍長のロッカーを調べる。
GID00053864	流れ者たちに対処する。
GID00053865	ならず者の集団を始末する。
GID00053866	Mrs. Hostetlerと話す。
GID00053867	Alice Hostetlerの新しい友人についての情報を探す。
GID00053868	AliceとAndyの手掛かりを探す。
GID00053869	下水溝のチンピラの件をCrandanに話す。
GID00053870	Crandanに流れ者について報告する。
GID00053871	Alice HostetlerとAndyを、Grayという建物で探す。
GID00053872	Crimson Caravanの資金を盗むAndyの計画をMrs. Hostetlerに話す。
GID00053873	(オプション) Hostetler家からCrimson Caravanの金を盗むAndyの計画を助ける。
GID00053874	Aliceは母を殺しかけたが、両親と暮らす道を選んだ。
GID00053875	AliceはNew Vegasから逃亡する道を選んだ。
GID00053876	Aliceは母を襲った後、死んだ。
GID00053877	Aliceは母を襲い、2人とも死んだ。
GID00053878	Aliceは母を殺しかけたが、New Vegasを去っていった。
GID00053879	Crimson Caravanの資金を手に入れる。
GID00053880	Hostetler夫人は娘Aliceを失ったが、取引の目的を果たすことを望んだ。
GID00053881	Hostetler夫人は取引の目的を果たすことを望み、Aliceを取り戻した。
GID00053882	Crimson Caravanの金はなかった。
GID00053883	Mrs. Hostetlerと話す。
GID00053884	Hostetler夫人はAliceの死に衝撃をうけ、もはや役に立たない。
GID00053885	Hostetler夫人はAliceの逃亡に衝撃をうけ、もはや役に立たない。
GID00053886	Crandonは死んだ。あなたはこれ以上彼を助けることはできない。
GID00053887	Violetを殺し、可能なら頭部を無傷で回収する。
GID00053888	Cook-Cookを殺し、可能なら頭部を無傷で回収する。
GID00053889	Driver Nephiを殺し、可能なら頭部を無傷で回収する。
GID00053890	Dhatri少佐にVioletの頭を渡し、報酬をもらう。
GID00053891	(オプション) Driver Nephiを殺すためGorobets中尉とFirst Reconの狙撃手達に協力を求める。
GID00053892	Dhatri少佐にCook-Cookの頭を渡し、報酬をもらう。
GID00053893	Dhatri少佐にDriver Nephiの頭を渡し、報酬をもらう。
GID00053894	賞金/依頼の件でDhatri少佐に会う。。
GID00053895	(オプション) Cook-Cookのお気に入りバラモン、Queenieを殺して彼を凶暴化させ、仲間と同士討ちさせる。
GID00053896	(オプション) Cook-CookについてLittle Busterと話す。
GID00053897	Westsideに行き、行方不明のNCR避難民の事をSaint Jamesと話す。
GID00053898	Casa Madrid ApartmentsのDermotの部屋から証拠品を探す。
GID00053899	Casa Madrid ApartmentsのSaint Jamesの部屋から証拠品を探す。
GID00053900	(オプション) DermotかSaint Jamesに証拠を突きつける。
GID00053901	(オプション) Saint JamesとDermotを殺す。
GID00053902	Captain Parkerに行方不明の難民に起こった事を話す。
GID00053903	Nellisの周辺に居るBoomersを助ける。
GID00053904	Pearlの所へ戻る。
GID00053905	LoyalにB-29浮上計画について聞く
GID00053906	Lake MeadのB-29にバラストを設置する。
GID00053907	(オプション) JackにLake Meadの底まで辿りつくのに必要な呼吸装置のことを聞く。
GID00053908	(オプション) 呼吸装置の制作に必要な圧力鍋をJackに渡す。
GID00053909	湖岸で起爆装置を作動させ、機体を浮上させる。
GID00053910	Loyalに引き揚げ成功を報告する。
GID00053911	Pearlに任務完了を報告する。
GID00053912	射撃技術を指導する。
GID00053913	状況報告書を偽造する。
GID00053914	投擲技術を指導する。
GID00053915	部隊の能力向上について話す。
GID00053916	McCredie軍曹に能力向上を報告。
GID00053917	Red Rock CanyonでJackから薬物を受け取る。
GID00053918	Razzに薬物を返す。
GID00053919	協力を頼む。
GID00053920	Magに更なる向上を提案する。
GID00053921	Magsと部隊の状況について話す。
GID00053922	Poindexterの所へ戻り、書き換えた成績について話す。
GID00053923	O'Hanrahanの所へ戻る。
GID00053924	Magsに分隊を尊重し、仲間と協力するよう説得する。
GID00053925	Razzに分隊を尊重し、仲間と協力するよう説得する。
GID00053926	Poindexterに分隊を尊重し、仲間と協力するよう説得する。
GID00053927	Vit-o-matic Vigor Testerへ歩いていく。
GID00053928	Vit-o-matic Vigor Testerを使用する。
GID00053929	Doc Mitchellのリビングルームのソファに座る。
GID00053930	Doc Mitchellについて行き、出口に向かう。
GID00053931	Sunny SmilesにPowder Gangersと戦う事について話す。
GID00053932	(オプション) Trudyの援助を得る。
GID00053933	(オプション) Chetに店の物資を戦いの為に提供するように説得する。
GID00053934	(オプション) Easy Peteからダイナマイトを入手する。
GID00053935	Ringoの元に戻り、Powder Gangersと戦う準備ができた事を知らせる。
GID00053936	Powder Gangersを撃破する。
GID00053937	Ringoの元に戻り、Sunny Smilesが共にPowder Gangersと戦う事を承諾したと知らせる。
GID00053938	RingoがPowder Gangersを始末するのに協力する。
GID00053939	(オプション) Doc Mitchellから追加の医療品を手に入れる。
GID00053940	Sunnyと合流する。
GID00053941	Sunset Sarsaparilla Prize Vaultへ行き、賞品を集める。
GID00053942	(オプション) アリ退治の助けになりそうなものをLoyalが持っているようだ。
GID00053943	二つのアレイジェネレーターを再起動し、主電源のブレーカーをリセットする。
GID00053944	(オプション) Loyalのsonic generatorをアリ塚に設置する。
GID00053945	発電室のアリをすべて排除する。
GID00053946	Raquelに発電機が再び稼動した事を知らせる。
GID00053947	(オプション) sonic emitterを起動する。
