GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_base_note_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00050567	最初に打ち上げた大気圏用ピンからは、応答が返ってこない。モチベイターがいまだ機能していないことを考えると、直接飛んでこない限り、データを得ることは難しい。それでも、何らかの機械的な故障の可能性は否定できない。天文学の参考資料はたいして持ってきてないが、おそらく古いチャートぐらいは見つかるだろう。そして、衛星が近くを通過して、信号を認識するのを待とう。もちろん、何年もかかるかもしれない。モチベイターの修理を続けないと。
GID00050568	あなたは暗い沼の、細い石の小道に立っている。沼の表面にはてらてらと光る泡が浮かび、気だるい音を立てて弾けては、あなたの足に汚泥やヘドロを吐きつけてくる。石造りの小塔が立っているが、扉はどこにも見当たらない。石の外壁は滑らかで、綺麗に磨かれている。塔の中段あたりにバルコニーがせり出している。吐きそうになる沼の悪臭に混じって、甘い香が漂ってくる。石の小道は沼を越えて、東に広がる広大な平原へと続いている。
GID00050569	魔法使いがバルコニーから、身ぶり手ぶりで何やら必死に訴えている。
GID00050570	今日、ようやく本格的な作業に取りかかれるようになった。受信アンテナ・モチベイターはオフラインだが、基本となる座標を打ち込んで、南西と東の方の衛星通信アレイにピングを打つことができた。NN-03dのアレイに打ったピングは何かが干渉したようだ。おそらくラッドローチか何かが、アンテナに巣を作っているのだと思う。ひとりかふたり、傭兵を派遣してアンテナの掃除をしてもらってもいいだろう。これらのタワーを使って、こちらの信号を増幅できるかもしれない。
GID00050571	私が遺跡で見つけた古い記録だけでも、何十もの軍事衛星が軌道上にあった。戦前には何百とあったに違いない。もしも私が幾つか運用施設を発見することが出来たなら...
GID00050573	うまく配線してあったおかげで、電力を引き込むことができた。こういうのはここでは珍しいことで、君は至る所で見てきたのかもしれないが、 Wasteland 中に生きたままの電力ラインが埋まってる。傲慢ではあったかもしれないが、『核による世界崩壊』以前の科学技術は、とてつもない水準にあったんだ。そう、私は認めざるをえない。…これだけ年月を経た今現在も力を保ち続けているという、その驚異的事実を。
GID00050574	これで必要な動力は手に入った。防衛タレットをオンラインにして、アンテナのモーターを動かしてみるか。
GID00050575	"平等"は一握りのキャップとは良く言ったものだ。このTalon Companyの傭兵達は、私が会った中で最も誠実で洗練された者達だ、彼らのボスが支払いを受けているかぎりは。幸いにも、金は問題とならない。この連中の親がバラモンの膝くらいの時から、沢山蓄えてきた。
GID00050576	もちろん、こいつが成功すれば、このクソ野郎どもがいくらキャップを持っていようが関係なくなるがね。
GID00050577	Erwin 二等兵へ
GID00050578	もしこの次、貴様の悪ふざけのせいで、我が兵が情けない恰好で現場に戻ってくるようなことがあったら、貴様をCamp Forlorn Hopeへ転属させて、二度と戻って来られなくしてやるぞ。
GID00050579	見張ってるからな
GID00050580	Ashville 中佐
GID00050581	Jackson 二等兵へ
