GID99999990	// Fallout: New Vegas Japanese Language Data 
GID99999991	// File Name: fonvj_mod_awop_dialogue_ja.txt 
GID99999992	// Output Date: 2015-11-06 14:02:02 JST 
GID99999993	// Fallout: New Vegas - Japanese Translation Team http://fonvj.ngnl.org/ 
GID00098666	ああ、それは私だ。そしてその箱も私のだよ。ありがとう、このキーとキャップを報酬に受け取ってくれ。
GID00098667	健康そうに見えるが。
GID00098668	助けることはできるが、ただ働きはしない。
GID00098669	ええ、ただのかすり傷に見えるが、それでも費用は掛かる。
GID00098670	混乱するのは当然だが、残念ながらこれにはまだ費用が掛かる。
GID00098671	君がどうやって入ってきたか知らないが、助けられるよ… お金次第で。
GID00098672	中毒患者はあなたが初めてじゃない。これはとても簡単に治せるんだ…
GID00098673	ああ、それだ… すばらしい、全部今までのままここにある。そうそう、これが約束したキーとキャップだ。重ねてありがとう。
GID00098674	OK、リクエストがあったら叫んでくれ。
GID00098675	こんにちは、私はTyra… Tyra Haggard です。はじめまして。
GID00098676	さようなら。
GID00098677	まあ、あるな。Blaze って呼ばれてるグールがいる、本当のクソだ。
GID00098678	OK、またパーティの物が必要になったら、どこに来るか分かってるよな。
GID00098679	私は Riazanov と呼ばれている。地元のアパートの管理と余った時間で修理屋をしている。
GID00098680	ここの多くの客を落胆させないためにも電子機器を使って修理に充てる時間を増やしてるんだ。
GID00098681	またな。
GID00098682	空き部屋はあるが、キーが欲しければその前に私に気に入られるように努力をすべきだな。
GID00098683	もちろんだ、見せてみろ。
GID00098684	あぁ、彼は未だに一人でそこに…。助けてくれてありがとう… これを礼に受け取ってくれ…
GID00098685	うーん、今頃何処にいてもおかしくは無いが、彼がこの町を出て行ったとは思えないんだ。周囲の洞窟か、或いは下水道辺りを探してみるといい。
GID00098686	可能性のありそうな場所をPip-Boyに登録してあげよう。
GID00098687	うーん、多分な。私がここに配置されたとき、任務は2つあった、1つはこの町の秩序を守ること。
GID00098688	2つ目は酒場で最後に目撃されたLegionのスパイである Baxter という名前の男を追跡することだ。
GID00098689	Baxter の件は長いこと忘れ去られてはいたが本部は今でも彼の居場所について興味があるはずだ。
GID00098690	お前が彼を見つけ出し、その証拠、彼のドッグタグやIDを確認できる何かを持ってくれば、私が個人的に報酬を出そう。
GID00098691	ああ、とある男が2週間ほど前に町に姿を現した。近くの Vault から穴を掘って逃げてきたらしい。方法は神のみぞ知る。彼は厳しいショック状態だった。
GID00098692	私は彼から詳細を聞き出した。どうやら他の Vault からの襲撃を受けた後、次に巨大な化け物や小動物に襲われたとか…
GID00098693	数日前の真夜中に黙っていなくなるまでは一緒に居たのだが。彼が何処へ行ったのかは不明だ。
GID00098694	考えうるのは彼のVaultへと戻ったという可能性だけ…
GID00098695	NCR は十分な兵員で Vault の物資を確認するまでは、そのエリアを立ち入り禁止としたのだ。
GID00098696	私の推測では査察は実行されないと思っているが、もし私が合間にでもそのエリアに立ち寄れば逮捕されるかもしれない。
GID00098697	その場所を確認しに行きたければ私は彼の洞穴の入り口は知っている、だが私にはそこは死の罠に思えてならないのだ…
GID00098698	この辺りじゃもうないな。思うにアンタのスキルは他の場所でもっと役に立つだろ。
GID00098699	いいぞ、Caesar も喜んでくださるだろう。この報酬でアンタの時間の埋め合わせとなればいいが。
GID00098700	アンタは誤ったトンネルへと探検に入ってしまったな。ここは交戦地帯だ。
GID00098701	我々の尋問によれば Frost として知られる下劣な毒殺者がこの不潔な汚水溜めに住んでいるらしい。
GID00098702	彼奴は我々が Nipton で見つけた薬物の90%に責任があり、Caesar も彼奴めの死を望んでおられる。
GID00098703	彼奴を見つけ出し、殺せ。報酬は十分に用意してやろう。
GID00098704	結構、我々の銃弾の邪魔にならないことをお勧めする。
GID00098705	ならば去れ、また一日、アンタのような臆病者を駆り立てる日が始まるようだ。
GID00098706	いいぞ、行け、仕事が完遂したら証拠を持ってくるのだ。
GID00098707	それは良いニュースだ。我々はここの居住者である重度のジャンキーどもの激しい抵抗に遭い、未だ戦闘中なのだ。
GID00098708	我々はこのトンネル内のジャンキーと売春婦どもを浄化するために来たのだ。それは私の予想よりも遥かに困難だった。
GID00098709	我々はここに留まり掃除を続け、トンネルを守りながら救う価値のある者がいるか見届けなければならない。
GID00098710	結構だ
GID00098711	ええ、偶然だけどウェイストランドで役に立ちそうなレシピを知っているわ。はい、どうぞ。
GID00098712	…それと家にある材料を少し持って行って。私たちは物資の供給に苦労はしてないしね。
GID00098713	いえ、メニューにあるものだけよ。
GID00098714	ハッ、間違ったときに間違った場所へと迷い込んじまったようだな… 俺たちはこの深い糞だめに居るんだ…
GID00098715	そうかもしれない、そうじゃないかもしれない、どっちにしろ大した問題か? ここの住人が良い生活を夢見るようなもんさ…
GID00098716	Julie は彼女の痛めた背中のためにMed-Xが必要だった…
GID00098717	Verona がウェイストランドに売り出した物は残った俺たちが食っていくには十分すぎるほどだった…
GID00098718	よく俺たちを見つけ出したな、キャプテン・アドベンチャー。俺たちに手を貸してくれるのか、それとも邪魔をする気かい?
GID00098719	あのLegionの化け物どもが俺の友達を少しづつ殺していくんだ。俺一人のためにはもう十分さ。
GID00098720	もう外に出て殺せる限り殺すつもりだ、その為ならどんな手だって借りるつもりだ。
GID00098721	厳しいところの大半はもうやっちまったみてえだな。残ったちょっとは自分でやるさ…
GID00098722	ほら、何か起こったらまずいから今マスターキーを受け取ってくれよ。欲しいものは何でも持ってけ… それから助けてくれてありがとうな。
GID00098723	可能性がある限り俺は外にいるからさ…
GID00098724	典型的だな… まぁどうでもいい、邪魔さえしなければな。
GID00098725	お前らフリークどもにはもううんざりだ! 全員殺してやる!
GID00098726	俺の隠し部屋の鍵をやるよ、好きなだけ全部持って行けばいい。俺にはもう何も必要ないからな…
GID00098727	もし生きてここを出られたら俺は北にある友達の隠れ家に向かうつもりだ。最近じゃ南部は危険になりすぎてるからな。
GID00098728	戦うほかにやりようがねえな。
GID00098729	すげえぜ、何か起きたらアレだからな、今マスターキーを受け取ってくれ。欲しいもんは何でも持っていけよ…
GID00098730	よし、外に行ってLegionの尻を蹴飛ばしてやろうぜ!
GID00098731	Legionのバカどもさ。連中が南側全域を支配して俺たちの邪魔をしてる。
GID00098732	俺たちは以前にも奴らと揉めたことがあった、仲間の一人、Verona が Nipton の近くで薬を隠し持ってるところを連中に捕まったんだ。
